,Date,Last Price,Net Change,% Change,Mid Line,Net Change,% Change
Su,3/31/19,2.692,0.269,11.10%,2.692,0.269,11.10%
Th,2/28/19,2.423,0.161,7.12%,2.423,0.161,7.12%
Th,1/31/19,2.262,0.005,0.22%,2.262,0.005,0.22%
,,,,,,,
Mo,12/31/18,2.257,-0.22,-8.88%,2.257,-0.22,-8.88%
Fr,11/30/18,2.477,-0.316,-11.31%,2.477,-0.316,-11.31%
We,10/31/18,2.793,-0.084,-2.92%,2.793,-0.084,-2.92%
Su,9/30/18,2.877,0.04,1.41%,2.877,0.04,1.41%
Fr,8/31/18,2.837,-0.032,-1.12%,2.837,-0.032,-1.12%
Tu,7/31/18,2.869,0.015,0.53%,2.869,0.015,0.53%
Sa,6/30/18,2.854,-0.103,-3.48%,2.854,-0.103,-3.48%
Th,5/31/18,2.957,0.146,5.19%,2.957,0.146,5.19%
Mo,4/30/18,2.811,0.154,5.80%,2.811,0.154,5.80%
Sa,3/31/18,2.657,0.117,4.61%,2.657,0.117,4.61%
We,2/28/18,2.54,-0.055,-2.12%,2.54,-0.055,-2.12%
We,1/31/18,2.595,0.108,4.34%,2.595,0.108,4.34%
,,,,,,,
Su,12/31/17,2.487,-0.003,-0.12%,2.487,-0.003,-0.12%
Th,11/30/17,2.49,0.008,0.32%,2.49,0.008,0.32%
Tu,10/31/17,2.482,-0.074,-2.90%,2.482,-0.074,-2.90%
Sa,9/30/17,2.556,0.037,1.47%,2.556,0.037,1.47%
Th,8/31/17,2.519,0.199,8.58%,2.519,0.199,8.58%
Mo,7/31/17,2.32,0.085,3.80%,2.32,0.085,3.80%
Fr,6/30/17,2.235,-0.146,-6.13%,2.235,-0.146,-6.13%
We,5/31/17,2.381,-0.004,-0.17%,2.381,-0.004,-0.17%
Su,4/30/17,2.385,0.065,2.80%,2.385,0.065,2.80%
Fr,3/31/17,2.32,0.02,0.87%,2.32,0.02,0.87%
Tu,2/28/17,2.3,0.024,1.05%,2.3,0.024,1.05%
Tu,1/31/17,2.276,-0.06,-2.57%,2.276,-0.06,-2.57%
