2013 U.S. EV SALES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Cadillac ELR,0,0,0,0,0,0,0,0,0,0,0,6
Chevrolet Spark EV,0,0,0,0,0,27,103,102,78,66,87,76
Chevrolet Volt,1140,1626,1478,1306,1607,2698,1788,3351,1766,2022,1920,2392
Fiat 500e,0,0,0,0,0,0,200,360,450,400,430,470
Ford C-Max Energi,338,334,494,411,450,455,433,621,758,1092,941,827
Ford Focus Electric,81,158,180,147,157,177,150,175,110,115,130,158
Ford Fusion Energi,0,119,295,364,416,390,407,600,750,1087,870,791
Honda Accord PHV,2,17,26,55,58,42,54,44,51,71,68,38
Honda Fit EV,8,15,23,22,15,208,64,66,35,40,23,51
Mitsubishi i-MiEV,257,337,31,127,91,39,46,30,20,28,12,11
Nissan LEAF,650,653,2236,1937,2138,2225,1864,2420,1953,2002,2003,2529
Porsche Panamera E-Hybrid,0,0,0,0,0,0,0,0,0,35,4,47
smart ED ,2,0,0,0,60,53,58,182,137,111,153,167
Tesla Model S,1200,1400,2300,2100,1700,1350,1300,1300,1500,800,1200,1500
Toyota Prius PHEV,874,693,786,599,678,584,817,1791,1152,2095,1100,919
Toyota RAV4 EV,25,52,133,70,84,44,109,231,167,91,62,28
